2016-05-04 11:50:05,200 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Maik/Library/Mobile Documents/M6HJR9W95L~com~textasticapp~textastic/Documents/Komponentenbasierte Entwicklung/kbe-ue3-1/src/test/resources
2016-05-04 11:50:15,698 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 11:50:15,699 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-04 11:50:15,700 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 11:50:15,701 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Maik/Library/Mobile Documents/M6HJR9W95L~com~textasticapp~textastic/Documents/Komponentenbasierte Entwicklung/kbe-ue3-1/src/test/resources
2016-05-04 11:50:21,509 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 11:50:21,510 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-04 11:50:21,511 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 11:50:21,511 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Maik/Library/Mobile Documents/M6HJR9W95L~com~textasticapp~textastic/Documents/Komponentenbasierte Entwicklung/kbe-ue3-1/src/test/resources
2016-05-04 12:07:53,502 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 12:07:53,503 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-04 12:07:53,505 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 12:07:53,506 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Maik/Library/Mobile Documents/M6HJR9W95L~com~textasticapp~textastic/Documents/Komponentenbasierte Entwicklung/kbe-ue3-1/src/test/resources
2016-05-04 13:20:45,348 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 13:20:45,352 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-04 13:20:45,354 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 13:20:45,354 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Maik/Library/Mobile Documents/M6HJR9W95L~com~textasticapp~textastic/Documents/Komponentenbasierte Entwicklung/kbe-ue3-1/src/test/resources
2016-05-04 13:29:29,431 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 13:29:29,434 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-04 13:29:29,436 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 13:29:29,437 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Maik/Library/Mobile Documents/M6HJR9W95L~com~textasticapp~textastic/Documents/Komponentenbasierte Entwicklung/kbe-ue3-1/src/test/resources
2016-05-04 13:39:00,396 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 13:39:00,398 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-04 13:39:00,400 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 13:39:00,400 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Maik/Library/Mobile Documents/M6HJR9W95L~com~textasticapp~textastic/Documents/Komponentenbasierte Entwicklung/kbe-ue3-1/src/test/resources
2016-05-04 22:14:13,638 [Worker-89] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 22:14:13,642 [Worker-89] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-04 22:14:13,644 [Worker-89] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-04 22:14:13,648 [Worker-89] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Maik/Library/Mobile Documents/M6HJR9W95L~com~textasticapp~textastic/Documents/Komponentenbasierte Entwicklung/kbe-ue3-1/src/test/resources
2016-05-05 10:00:14,260 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-05 10:00:14,271 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-05 10:00:14,276 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-05 10:00:14,277 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Maik/Library/Mobile Documents/M6HJR9W95L~com~textasticapp~textastic/Documents/Komponentenbasierte Entwicklung/kbe-ue1-2/src/test/resources
2016-05-05 10:00:15,051 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-05 10:00:15,052 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-05 10:00:15,054 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-05 10:00:15,055 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Maik/Library/Mobile Documents/M6HJR9W95L~com~textasticapp~textastic/Documents/Komponentenbasierte Entwicklung/kbe-ue3-1/src/test/resources
2016-05-05 11:05:00,251 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-05 11:05:00,263 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-05 11:05:00,264 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-05 11:05:00,265 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Maik/Library/Mobile Documents/M6HJR9W95L~com~textasticapp~textastic/Documents/Komponentenbasierte Entwicklung/kbe-ue3-1/src/test/resources
2016-05-05 11:23:59,911 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-05 11:23:59,912 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-05 11:23:59,914 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-05 11:23:59,914 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Maik/Library/Mobile Documents/M6HJR9W95L~com~textasticapp~textastic/Documents/Komponentenbasierte Entwicklung/kbe-ue3-1/src/test/resources
2016-05-05 11:56:06,933 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-05 11:56:06,942 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-05 11:56:06,943 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-05 11:56:06,944 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Maik/Library/Mobile Documents/M6HJR9W95L~com~textasticapp~textastic/Documents/Komponentenbasierte Entwicklung/kbe-ue3-1/src/test/resources
